-268.9,126.9,56.4
-268,126.9,56.6
-267.1,126.8,56.9
-266.3,126.7,57.1
-265.3,126.6,57.4
-264.4,126.5,57.6
-263.4,126.5,57.9
-262.5,126.4,58.1
-261.5,126.3,58.4
-260.7,126.1,58.6
-259.7,125.9,58.9
-258.8,125.7,59.2
-257.9,125.4,59.5
-257,125.1,59.8
-256.1,124.8,60
-255.2,124.4,60.3
-254.4,124,60.6
-253.5,123.5,60.9
-252.6,123.1,61.2
-251.8,122.6,61.4
-251,122.2,61.8
-250.3,121.6,62.1
-249.7,121,62.3
-249,120.4,62.6
-248.4,119.7,62.8
-247.7,118.9,63.3
-247.1,118.2,63.6
-246.6,117.3,63.9
-246,116.4,64.3
-245.5,115.5,64.6
-245,114.6,65
-244.6,113.5,65.3
-244.1,112.4,65.7
-243.6,111.4,66
-243.2,110.4,66.3
-242.7,109.5,66.6
-242.2,108.6,66.8
-241.8,107.7,67.1
-241.4,106.9,67.3
-241.1,106.1,67.5
-240.8,105.3,67.7
-240.6,104.6,67.9
-240.4,103.8,68.1
-240.3,103,68.2
-240.2,102.2,68.4
-240,101.4,68.6
-240,100.7,68.8
-240,99.9,68.9
-240,99.2,69.1
-240.2,98.5,69.1
-240.2,97.9,69.3
-240.5,97.1,69.4
-240.7,96.4,69.6
-241,95.8,69.7
-241.4,95,69.8
-241.8,94.2,69.9
-242.2,93.5,70
-242.5,92.9,70.2
-243,92.2,70.2
-243.4,91.5,70.3
-243.8,91,70.4
-244.3,90.4,70.5
-244.8,90,70.4
-245.2,89.6,70.5
-245.6,89.2,70.6
-246,88.8,70.7
-246.6,88.5,70.6
-247.1,88.1,70.6
-247.5,87.7,70.7
-248.1,87.3,70.6
-248.5,86.9,70.7
-249,86.5,70.7
-249.5,86.2,70.8
-250,86,70.8
-250.6,85.7,70.6
-251.1,85.6,70.6
-251.6,85.5,70.6
-251.9,85.5,70.7
-252.3,85.5,70.6
-252.8,85.6,70.6
-253.2,85.7,70.5
-253.5,85.8,70.5
-254,85.9,70.4
-254.3,86,70.4
-254.8,86.1,70.4
-255.3,86.3,70.2
-255.8,86.5,70.2
-256.3,86.6,70.1
-256.9,86.8,70
-257.4,87.1,70
-258,87.3,69.8
-258.6,87.5,69.8
-259.2,87.9,69.6
-259.8,88.1,69.5
-260.5,88.4,69.3
-261.3,88.7,69.2
-261.9,89,69
-262.7,89.1,68.9
-263.5,89.2,68.8
-264.4,89.3,68.5
-265.2,89.3,68.4
-266.1,89.3,68.1
-267,89.3,67.9
-267.8,89.4,67.8
-268.6,89.6,67.5
-269.4,89.7,67.3
-270,89.9,67.1
-270.7,90.2,66.9
-271.3,90.5,66.7
-271.7,90.9,66.6
-272.4,91.1,66.3
-272.8,91.4,66.2
-273.3,91.8,66
-273.8,92.2,65.7
